"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"187",12,"Buddy Howell",FA,"-","-","-"
"188",12,"C.J. Prosise",FA,"-","-","-"
"189",12,"Darius Bradwell",FA,"-","-","-"
"190",12,"Scottie Phillips",HOU,"10","4 out of 5 stars","-"
"191",12,"Gabe Nabers",LAC,"7","4 out of 5 stars","-"
"192",12,"Damarea Crockett",FA,"-","-","-"
"193",12,"Patrick Taylor Jr.",FA,"-","-","-"
"194",12,"Nate McCrary",FA,"-","-","-"
"195",12,"Derek Watt",PIT,"7","5 out of 5 stars","-"
"196",12,"Jacques Patrick",FA,"-","-","-"
"197",12,"Brenden Knox",FA,"-","-","-"
"198",12,"Nathan Cottrell",FA,"-","-","-"
"199",12,"Sewo Olonilua",DAL,"7","2 out of 5 stars","-"
"200",12,"Tavien Feaster",FA,"-","-","-"
"201",12,"Derrick Gore",FA,"-","-","-"
"202",12,"Christian Wade",BUF,"7","3 out of 5 stars","-"
"203",12,"Artavis Pierce",FA,"-","-","-"
"204",12,"Austin Walter",FA,"-","-","-"
"205",12,"Trey Edmunds",FA,"-","-","-"
"206",12,"Jordan Scarlett",FA,"-","-","-"
"207",12,"Craig Reynolds",FA,"-","-","-"
"208",12,"Spencer Brown",FA,"-","-","-"
"209",12,"Josh Hokit",SF,"6","3 out of 5 stars","-"
"210",12,"Benny LeMay",FA,"-","-","-"
"211",12,"Deon Jackson",FA,"-","-","-"
"212",12,"Josh Johnson",FA,"-","-","-"
"213",12,"Javon Leake",DET,"9","0 out of 5 stars","-"
