tiers,pos,name,bye,rk,team,sos,ecr_vs_adp
12,WR,Nick Westbrook-Ikhine,13,220,TEN,3,
12,WR,Jauan Jennings,6,224,SF,5,
12,RB,Troymaine Pope,9,184,TB,0,
12,RB,Cullen Gillaspia,10,186,NYG,2,
12,RB,Scottie Phillips,10,190,HOU,4,
12,RB,Gabe Nabers,7,191,LAC,4,
12,RB,Derek Watt,7,195,PIT,5,
12,RB,Sewo Olonilua,7,199,DAL,2,
12,RB,Christian Wade,7,202,BUF,3,
12,RB,Josh Hokit,6,209,SF,3,
12,RB,Javon Leake,9,213,DET,0,
13,WR,Rodney Adams,10,234,CHI,3,-85
13,WR,Dezmon Patmon,14,248,IND,5,-103
13,WR,Tom Kennedy,9,253,DET,1,-111
13,WR,Daurice Fountain,12,226,KC,3,
13,WR,Hakeem Butler,14,229,PHI,3,
13,WR,Trinity Benson,9,231,DET,1,
13,WR,Jeff Smith,6,232,NYJ,4,
13,WR,J.J. Nelson,14,237,IND,5,
13,WR,John Ursua,9,238,SEA,1,
13,WR,Brandon Zylstra,13,242,CAR,5,
13,WR,Chris Finke,12,243,KC,3,
13,WR,C.J. Board,10,244,NYG,3,
13,WR,Victor Bolden Jr.,9,247,DET,1,
13,WR,Terry Godwin,7,250,JAC,5,
13,WR,Dan Chisena,7,251,MIN,3,
13,WR,Dax Milne,9,254,WAS,3,
13,WR,Duke Williams,7,257,BUF,3,
13,WR,Stanley Morgan Jr.,10,259,CIN,2,
13,WR,Austin Mack,10,265,NYG,3,
13,WR,Juwan Johnson,6,269,NO,4,
13,WR,Malik Turner,7,270,DAL,1,
13,WR,Mack Hollins,14,273,MIA,3,
13,WR,Trenton Irwin,10,274,CIN,2,
14,WR,T.J. Vasher,7,277,DAL,1,
14,WR,Austin Trammell,6,279,ATL,4,
14,WR,DeAndre Carter,9,280,WAS,3,
14,WR,Tyler Simmons,7,286,PIT,2,
14,WR,Antoine Wesley,12,287,ARI,2,
14,WR,Rysen John,10,289,NYG,3,
14,WR,Stephen Guidry,7,296,DAL,1,
14,WR,Allen Hurns,14,301,MIA,3,
14,WR,Warren Jackson,7,308,MIN,3,
15,WR,Josh Malone,6,312,NYJ,4,
15,WR,Matthew Slater,14,313,NE,4,
