tiers,pos,name,bye,rk,team,sos,ecr_vs_adp
5,TE,Jack Doyle,14,32,IND,4,11
5,TE,Chris Herndon IV,7,33,MIN,2,8
5,TE,Will Dissly,9,41,SEA,1,5
5,TE,Jimmy Graham,10,31,CHI,1,1
5,TE,Dalton Schultz,7,35,DAL,2,1
5,TE,Donald Parham Jr.,7,39,LAC,3,0
5,TE,Mo Alie-Cox,14,38,IND,4,-3
5,TE,Jordan Akins,10,40,HOU,4,-13
5,TE,Pat Freiermuth,7,36,PIT,5,-17
5,TE,Ian Thomas,13,37,CAR,4,
5,RB,James Conner,12,34,ARI,3,3
5,RB,Kenyan Drake,8,38,LV,2,1
5,RB,Javonte Williams,11,27,DEN,5,0
5,RB,Chase Edmonds,12,28,ARI,3,0
5,RB,Melvin Gordon III,11,30,DEN,5,0
5,RB,Trey Sermon,6,31,SF,3,0
5,RB,Michael Carter,6,33,NYJ,4,0
5,RB,Zack Moss,7,35,BUF,3,0
5,RB,Ronald Jones II,9,32,TB,0,-3
5,RB,AJ Dillon,13,37,GB,0,-3
5,RB,Raheem Mostert,6,29,SF,3,-4
5,RB,Leonard Fournette,9,36,TB,0,-4
5,QB,Teddy Bridgewater,11,30,DEN,5,5
5,QB,Drew Lock,11,33,DEN,5,4
5,QB,Mac Jones,14,34,NE,5,2
5,QB,Jared Goff,9,29,DET,1,1
5,QB,Jimmy Garoppolo,6,32,SF,5,1
5,QB,Andy Dalton,10,38,CHI,2,0
5,QB,Taysom Hill,6,31,NO,3,-2
5,QB,Tyrod Taylor,10,36,HOU,4,-2
5,QB,Deshaun Watson,10,37,HOU,4,-13
5,K,Greg Joseph,7,30,MIN,0,8
5,K,Cody Parkey,13,28,CLE,2,3
5,K,Chase McLaughlin,13,34,CLE,2,-4
5,K,Evan McPherson,10,26,CIN,1,-7
5,K,Sam Ficken,13,32,TEN,2,-9
5,K,Ryan Santoso,13,35,CAR,5,
5,DST,New York Jets,6,25,NYJ,4,4
5,DST,Cincinnati Bengals,10,30,CIN,3,1
5,DST,Atlanta Falcons,6,28,ATL,5,0
5,DST,Jacksonville Jaguars,7,27,JAC,2,-1
5,DST,Carolina Panthers,13,24,CAR,4,-2
5,DST,Houston Texans,10,29,HOU,2,-2
5,DST,Detroit Lions,9,32,DET,5,-2
5,DST,Tennessee Titans,13,23,TEN,3,-4
5,DST,Dallas Cowboys,7,26,DAL,5,-6
5,DST,Las Vegas Raiders,8,31,LV,4,
6,WR,Marvin Jones Jr.,7,46,JAC,5,7
6,WR,DeVante Parker,14,51,MIA,3,7
6,WR,Curtis Samuel,9,43,WAS,3,3
6,WR,Russell Gage,6,54,ATL,4,3
6,WR,Michael Gallup,7,45,DAL,1,2
6,WR,Marquise Brown,8,52,BAL,2,2
6,WR,Jarvis Landry,13,42,CLE,1,1
6,WR,Mike Williams,7,44,LAC,3,1
6,WR,Michael Pittman Jr.,14,47,IND,5,1
6,WR,Darnell Mooney,10,50,CHI,3,1
6,WR,Mecole Hardman,12,53,KC,3,-3
6,WR,Jaylen Waddle,14,48,MIA,3,-4
6,WR,Michael Thomas,6,49,NO,4,-20
6,TE,Harrison Bryant,13,44,CLE,2,9
6,TE,Drew Sample,10,46,CIN,2,6
6,TE,Tyler Conklin,7,45,MIN,2,5
6,TE,David Njoku,13,42,CLE,2,2
6,TE,Albert Okwuegbunam,11,47,DEN,4,0
6,TE,James O'Shaughnessy,7,53,JAC,4,-4
6,TE,C.J. Uzomah,10,43,CIN,2,-6
6,TE,Foster Moreau,8,52,LV,4,-7
6,TE,Tyler Kroft,6,48,NYJ,3,-8
6,TE,Cameron Brate,9,49,TB,3,
6,TE,Brevin Jordan,10,50,HOU,4,
6,TE,Maxx Williams,12,54,ARI,2,
6,RB,Phillip Lindsay,10,44,HOU,4,5
6,RB,Nyheim Hines,14,41,IND,4,3
6,RB,Giovani Bernard,9,50,TB,0,3
6,RB,Jamaal Williams,9,39,DET,0,2
6,RB,James White,14,45,NE,3,2
6,RB,J.D. McKissic,9,47,WAS,3,1
6,RB,Devin Singletary,7,40,BUF,3,0
6,RB,Tevin Coleman,6,51,NYJ,4,0
6,RB,Tony Pollard,7,43,DAL,2,-1
6,RB,Alexander Mattison,7,48,MIN,3,-2
6,RB,Rashaad Penny,9,52,SEA,1,-2
6,RB,Sony Michel,11,46,LAR,4,-3
6,RB,David Johnson,10,42,HOU,4,-4
6,RB,Latavius Murray,6,49,NO,2,-4
6,QB,Jordan Love,13,43,GB,2,-3
6,QB,Marcus Mariota,8,44,LV,3,-5
6,QB,Davis Mills,10,39,HOU,4,
6,QB,Gardner Minshew II,14,40,PHI,4,
6,QB,Taylor Heinicke,9,41,WAS,4,
6,QB,Jacob Eason,14,42,IND,4,
6,QB,Mitchell Trubisky,7,45,BUF,1,
6,K,Matt Ammendola,6,37,NYJ,5,-1
6,K,Tucker McCann,13,38,TEN,2,-3
6,K,Aldrick Rosas,6,41,NO,4,-4
6,K,Sam Sloman,7,39,PIT,2,
6,K,Tristan Vizcaino,7,42,LAC,2,
6,K,Quinn Nordin,14,43,NE,4,
6,K,Jose Borregales,9,44,TB,2,
6,K,Chris Naggar,6,45,NYJ,5,
6,K,Andrew Jacas,6,46,SF,4,
6,K,Brett Maher,6,47,NO,4,
6,K,Riley Patterson,7,48,MIN,0,
7,WR,Parris Campbell,14,68,IND,5,16
7,WR,Nelson Agholor,14,59,NE,4,12
7,WR,Tre'Quan Smith,6,66,NO,4,12
7,WR,Gabriel Davis,7,65,BUF,3,11
7,WR,Rashod Bateman,8,62,BAL,2,7
7,WR,Darius Slayton,10,76,NYG,3,6
7,WR,Sterling Shepard,10,61,NYG,3,5
7,WR,Jakobi Meyers,14,58,NE,4,4
7,WR,Rondale Moore,12,63,ARI,2,4
7,WR,Christian Kirk,12,72,ARI,2,3
7,WR,Amon-Ra St. Brown,9,74,DET,1,3
7,WR,Terrace Marshall Jr.,13,71,CAR,5,1
7,WR,John Brown,8,73,LV,1,1
7,WR,Elijah Moore,6,56,NYJ,4,0
7,WR,Jalen Reagor,14,60,PHI,3,0
7,WR,T.Y. Hilton,14,64,IND,5,0
7,WR,Bryan Edwards,8,70,LV,1,0
7,WR,Cole Beasley,7,57,BUF,3,-2
7,WR,Henry Ruggs III,8,55,LV,1,-3
7,WR,Jamison Crowder,6,67,NYJ,4,-4
7,WR,Emmanuel Sanders,7,69,BUF,3,-4
7,WR,A.J. Green,12,75,ARI,2,-16
7,WR,Randall Cobb,13,78,GB,1,-17
7,WR,Marquez Callaway,6,77,NO,4,-28
7,TE,Juwan Johnson,6,55,NO,4,-13
7,TE,Kylen Granson,14,56,IND,4,
7,TE,Geoff Swaim,13,57,TEN,2,
7,TE,Jacob Harris,11,58,LAR,2,
7,TE,Darren Fells,9,59,DET,4,
7,TE,Nick Boyle,8,60,BAL,4,
7,TE,Hunter Long,14,61,MIA,4,
7,TE,Jace Sternberger,13,63,GB,3,
7,TE,Brycen Hopkins,11,65,LAR,2,
7,TE,Noah Gray,12,66,KC,3,
7,TE,Tommy Tremble,13,68,CAR,4,
7,TE,Adam Shaheen,14,69,MIA,4,
7,TE,Nick Vannett,6,70,NO,4,
7,TE,Josh Oliver,8,71,BAL,4,
7,TE,Ross Dwelley,6,72,SF,4,
7,RB,Carlos Hyde,7,56,JAC,4,34
7,RB,Joshua Kelley,7,67,LAC,4,16
7,RB,Malcolm Brown,14,54,MIA,4,15
7,RB,Salvon Ahmed,14,58,MIA,4,12
7,RB,Darrynton Evans,13,63,TEN,3,10
7,RB,Boston Scott,14,66,PHI,3,9
7,RB,Justin Jackson,7,64,LAC,4,8
7,RB,Jerick McKinnon,12,68,KC,4,6
7,RB,Darrel Williams,12,53,KC,4,4
7,RB,Tarik Cohen,10,55,CHI,3,3
7,RB,Damien Williams,10,57,CHI,3,3
7,RB,Kenneth Gainwell,14,59,PHI,3,3
7,RB,Mark Ingram II,10,65,HOU,4,-4
7,RB,Benny Snell Jr.,7,71,PIT,5,-4
7,RB,Rhamondre Stevenson,14,61,NE,3,-6
7,RB,Ty Johnson,6,69,NYJ,4,-6
7,RB,Devontae Booker,10,70,NYG,2,-6
7,RB,Anthony McFarland Jr.,7,72,PIT,5,-7
7,RB,Marlon Mack,14,60,IND,4,-8
7,RB,Chuba Hubbard,13,62,CAR,2,-8
7,QB,Jacoby Brissett,14,46,MIA,4,
7,QB,Phillip Walker,13,47,CAR,4,
7,QB,Kellen Mond,7,48,MIN,3,
7,QB,Dwayne Haskins,7,49,PIT,4,
7,QB,Nick Foles,10,50,CHI,2,
7,QB,Sam Ehlinger,14,51,IND,4,
7,QB,Kyle Trask,9,52,TB,2,
7,QB,Joe Flacco,14,53,PHI,4,
7,QB,Mason Rudolph,7,54,PIT,4,
7,QB,Chad Henne,12,55,KC,4,
7,QB,Brandon Allen,10,56,CIN,2,
7,QB,John Wolford,11,57,LAR,4,
7,QB,Case Keenum,13,58,CLE,3,
7,QB,Colt McCoy,12,60,ARI,2,
7,QB,Chase Daniel,7,62,LAC,2,
7,QB,Kyle Allen,9,63,WAS,4,
7,QB,Mike Glennon,10,64,NYG,4,
7,QB,C.J. Beathard,7,65,JAC,4,
8,WR,Van Jefferson,11,84,LAR,5,27
8,WR,James Washington,7,94,PIT,2,25
8,WR,KJ Hamler,11,83,DEN,4,22
8,WR,Preston Williams,14,99,MIA,3,22
8,WR,Tim Patrick,11,86,DEN,4,15
8,WR,Josh Reynolds,13,89,TEN,3,14
8,WR,Kendrick Bourne,14,100,NE,4,14
8,WR,Keelan Cole Sr.,6,102,NYJ,4,13
8,WR,Tyrell Williams,9,82,DET,1,12
8,WR,Hunter Renfrow,8,87,LV,1,12
8,WR,Amari Rodgers,13,96,GB,1,12
8,WR,Rashard Higgins,13,95,CLE,1,11
8,WR,Zach Pascal,14,101,IND,5,11
8,WR,Quintez Cephus,9,97,DET,1,10
8,WR,DeSean Jackson,11,85,LAR,5,7
