id,name,position,team,total_points,projected_total_points,rank
4047365,Josh Jacobs,RB,OAK,214.8,222.45,8
3040151,George Kittle,TE,SF,101.1,183.27,19
4047650,DK Metcalf,WR,SEA,229.8,168.79,7
3116406,Tyreek Hill,WR,KC,285.4,213.03,2
3055899,Harrison Butker,K,KC,132.0,142.27,12
2976212,Stefon Diggs,WR,BUF,265.1,158.19,3
16804,John Brown,WR,BUF,80.3,137.22,80
4036133,T.J. Hockenson,TE,DET,141.8,115.25,4
3916430,Nyheim Hines,RB,IND,161.7,109.0,20
11674,Danny Amendola,WR,DET,83.4,107.79,76
2572861,J.D. McKissic,RB,WSH,151.4,57.59,24
15826,Giovani Bernard,RB,CIN,134.6,73.26,31
3122899,Richie James,WR,SF,52.9,10.8,103
3115306,Josh Reynolds,WR,LAR,98.3,56.34,64
14880,Kirk Cousins,QB,MIN,306.2,229.74,11
-16012,Chiefs D/ST,D/ST,KC,107.0,101.81,14
2977187,Cooper Kupp,WR,LAR,162.7,176.08,27
3115364,Leonard Fournette,RB,TB,114.0,129.02,38
3045144,Tyler Boyd,WR,CIN,153.14,156.19,35
2976592,Sterling Shepard,WR,NYG,129.5,160.69,46
4259545,D'Andre Swift,RB,DET,166.8,142.37,18
3046439,Hunter Henry,TE,LAC,115.3,120.36,13
15072,Marvin Jones Jr.,WR,DET,189.8,165.05,17
3071572,Keelan Cole Sr.,WR,JAX,127.9,18.9,48
15349,Cole Beasley,WR,BUF,166.5,111.6,26
3917232,Tyler Bass,K,BUF,151.0,120.49,4
-16028,Washington D/ST,D/ST,WSH,146.0,83.7,4
3119195,Chase Edmonds,RB,ARI,141.5,75.4,28
4262921,Justin Jefferson,WR,MIN,230.2,114.22,6
4040715,Jalen Hurts,QB,PHI,108.94,26.51,35
3116164,Mike Gesicki,TE,MIA,132.8,112.28,7
15880,Robert Woods,WR,LAR,200.1,181.21,13
3042519,Aaron Jones,RB,GB,235.4,218.01,5
3068267,Austin Ekeler,RB,LAC,138.3,207.05,29
14924,T.Y. Hilton,WR,IND,136.2,176.86,40
16790,Jarvis Landry,WR,CLE,151.96,171.49,36
4241372,Marquise Brown,WR,BAL,154.0,157.79,34
3116365,Mark Andrews,TE,BAL,141.1,167.32,5
4040761,Devin Singletary,RB,BUF,124.6,153.99,34
3918298,Josh Allen,QB,BUF,395.56,273.18,1
2573401,Tyler Higbee,TE,LAR,106.2,130.65,18
4038941,Justin Herbert,QB,LAC,332.84,159.08,9
3116136,Justin Jackson,RB,LAC,55.8,97.35,69
3045138,Mike Williams,WR,LAC,129.7,125.1,45
10452,Adrian Peterson,RB,DET,118.5,58.89,37
-16034,Texans D/ST,D/ST,HOU,28.0,96.87,30
2473037,Jason Myers,K,SEA,138.0,120.66,9
3043078,Derrick Henry,RB,TEN,323.6,241.33,2
2576623,DeVante Parker,WR,MIA,134.8,169.49,42
4035538,David Montgomery,RB,CHI,237.8,156.05,4
15920,Latavius Murray,RB,NO,124.7,119.32,33
-16023,Steelers D/ST,D/ST,PIT,164.0,149.67,2
4047646,A.J. Brown,WR,TEN,212.5,180.81,11
15847,Travis Kelce,TE,KC,260.26,219.35,1
4360294,Antonio Gibson,RB,WSH,184.2,153.87,12
14876,Ryan Tannehill,QB,TEN,343.86,239.16,7
3932905,Diontae Johnson,WR,PIT,177.8,145.81,23
16799,Allen Robinson II,WR,CHI,211.9,181.23,12
4241985,J.K. Dobbins,RB,BAL,159.5,121.09,21
3124679,Jason Sanders,K,MIA,169.0,110.86,1
4035687,Michael Pittman Jr.,WR,IND,78.9,94.87,81
3916148,Tony Pollard,RB,DAL,106.7,89.21,41
-16021,Eagles D/ST,D/ST,PHI,102.0,112.99,15
2977644,Todd Gurley II,RB,ATL,150.7,200.84,25
2976499,Amari Cooper,WR,DAL,190.8,185.44,16
3116385,Joe Mixon,RB,CIN,89.1,209.88,49
4048244,Alexander Mattison,RB,MIN,80.4,91.31,54
3925357,Calvin Ridley,WR,ATL,236.5,180.75,4
3051876,Evan Engram,TE,NYG,109.5,135.0,16
4046692,Chase Claypool,WR,PIT,183.9,86.78,19
2980453,Jamaal Williams,RB,GB,111.6,89.7,39
13295,Emmanuel Sanders,WR,NO,134.3,139.32,43
-16018,Saints D/ST,D/ST,NO,137.0,131.73,6
2570986,Malcolm Brown,RB,LAR,97.6,40.82,42
5536,Ben Roethlisberger,QB,PIT,267.22,240.74,14
8479,Frank Gore,RB,NYJ,92.2,62.03,46
3915165,Rodrigo Blankenship,K,IND,145.0,125.51,6
4035072,Benny Snell Jr.,RB,PIT,69.9,79.36,61
3042910,Rashard Higgins,WR,CLE,102.4,29.53,62
