"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"290",14,"Tanner Gentry",FA,"-","-","-"
"291",14,"Fred Brown",FA,"-","-","-"
"292",14,"Tarik Black",FA,"-","-","-"
"293",14,"Isaiah Wright",FA,"-","-","-"
"294",14,"Kirk Merritt",FA,"-","-","-"
"295",14,"Jaylon Moore",FA,"-","-","-"
"296",14,"Stephen Guidry",DAL,"7","1 out of 5 stars","-"
"297",14,"Aaron Parker",FA,"-","-","-"
"298",14,"Austin Watkins Jr.",FA,"-","-","-"
"299",14,"Nsimba Webster",FA,"-","-","-"
"300",14,"Javon McKinley",FA,"-","-","-"
"301",14,"Allen Hurns",MIA,"14","3 out of 5 stars","-"
"302",14,"DJ Turner",FA,"-","-","-"
"303",14,"Dillon Stoner",FA,"-","-","-"
"304",14,"Lawrence Cager",FA,"-","-","-"
"305",14,"Scotty Washington",FA,"-","-","-"
"306",14,"D.J. Montgomery",FA,"-","-","-"
"307",14,"Keith Kirkwood",FA,"-","-","-"
"308",14,"Warren Jackson",MIN,"7","3 out of 5 stars","-"
"309",14,"Josh Hammond",FA,"-","-","-"
"310",14,"Josh Imatorbhebhe",FA,"-","-","-"
"311",15,"Travis Jonsen",FA,"-","-","-"
"312",15,"Josh Malone",NYJ,"6","4 out of 5 stars","-"
"313",15,"Matthew Slater",NE,"14","4 out of 5 stars","-"
