player_id,player_name,pos,team,projected_points,points,current_position,QB,RB,WR,TE,RB/WR/TE,K,D/ST,week,fantasy_team_id,fantasy_team_name,opponent_team_id,opponent_team_name,home_away
16800,Davante Adams,WR,GB,16.22,25.2,WR,False,False,True,False,True,False,False,3,13,Ceedee's Nuts!,19,Federal Way Yu,home
4241457,Najee Harris,RB,PIT,15.82,21.2,RB,False,True,False,False,True,False,False,3,13,Ceedee's Nuts!,19,Federal Way Yu,home
3119195,Chase Edmonds,RB,ARI,12.64,11.0,RB,False,True,False,False,True,False,False,3,13,Ceedee's Nuts!,19,Federal Way Yu,home
4360310,Trevor Lawrence,QB,JAX,16.58,7.46,BE,True,False,False,False,False,False,False,3,13,Ceedee's Nuts!,19,Federal Way Yu,home
4241389,CeeDee Lamb,WR,DAL,14.02,8.0,WR,False,False,True,False,True,False,False,3,13,Ceedee's Nuts!,19,Federal Way Yu,home
-16014,Rams D/ST,D/ST,LAR,5.54,1.0,D/ST,False,False,False,False,False,False,True,3,13,Ceedee's Nuts!,19,Federal Way Yu,home
10636,Mason Crosby,K,GB,6.72,16.0,K,False,False,False,False,False,True,False,3,13,Ceedee's Nuts!,19,Federal Way Yu,home
2974858,Kenny Golladay,WR,NYG,10.1,8.4,BE,False,False,True,False,True,False,False,3,13,Ceedee's Nuts!,19,Federal Way Yu,home
3054212,Jonnu Smith,TE,NE,6.9,0.9,BE,False,False,False,True,True,False,False,3,13,Ceedee's Nuts!,19,Federal Way Yu,home
4035170,Marquez Callaway,WR,NO,8.09,12.1,BE,False,False,True,False,True,False,False,3,13,Ceedee's Nuts!,19,Federal Way Yu,home
12483,Matthew Stafford,QB,LAR,19.39,29.52,QB,True,False,False,False,False,False,False,3,13,Ceedee's Nuts!,19,Federal Way Yu,home
2980453,Jamaal Williams,RB,DET,8.19,13.7,BE,False,True,False,False,True,False,False,3,13,Ceedee's Nuts!,19,Federal Way Yu,home
3121023,Dallas Goedert,TE,PHI,6.8,7.6,TE,False,False,False,True,True,False,False,3,13,Ceedee's Nuts!,19,Federal Way Yu,home
