round_num,round_pick,overall_pick,team_id,team_abbr,team_name,nominating_team_name,nominating_team_id,player_id,player_name,bid_amount
12,5,137,16,Jake,Draftin Herbert First Pick,Team barrett,18,-16005,Browns D/ST,9
12,6,138,13,COOK,Too Many Cooks,Draftin Herbert First Pick,16,3121427,Curtis Samuel,3
12,7,139,10,SPNY,Spenny Willy,Too Many Cooks,13,4249087,Matt Gay,1
12,8,140,3,GORO,Seattle Fantasy Team,Spenny Willy,10,-16017,Patriots D/ST,3
12,9,141,2,SWIG,Rippin' Swigs,Seattle Fantasy Team,3,3916433,Jakobi Meyers,2
12,10,142,1,LI,Fully  Maccinated,Herb Your Enthusiasm,12,3046439,Hunter Henry,1
12,11,143,2,SWIG,Rippin' Swigs,Scooty Lewis and the News,17,3115394,DJ Chark Jr.,4
12,12,144,13,COOK,Too Many Cooks,Fully  Maccinated,1,4241372,Marquise Brown,5
13,1,145,15,LESS,Elite starts  with Eli,Raiders Are Good,11,3051876,Evan Engram,1
13,2,146,19,Yu,Federal Way Yu,Rippin' Swigs,2,3052117,Phillip Lindsay,1
13,3,147,18,BARR,Team barrett,Elite starts  with Eli,15,-16011,Colts D/ST,8
13,4,148,16,Jake,Draftin Herbert First Pick,Federal Way Yu,19,3917232,Tyler Bass,1
13,5,149,10,SPNY,Spenny Willy,Team barrett,18,11237,Matt Ryan,1
13,6,150,3,GORO,Seattle Fantasy Team,Draftin Herbert First Pick,16,5536,Ben Roethlisberger,1
13,7,151,17,QWER,Scooty Lewis and the News,Too Many Cooks,13,3115378,Russell Gage,1
13,8,152,1,LI,Fully  Maccinated,Spenny Willy,10,-16012,Chiefs D/ST,1
13,9,153,11,DARR,Raiders Are Good,Seattle Fantasy Team,3,4040761,Devin Singletary,1
13,10,154,19,Yu,Federal Way Yu,Herb Your Enthusiasm,12,2508176,David Johnson,2
13,11,155,10,SPNY,Spenny Willy,Scooty Lewis and the News,17,3912550,Ronald Jones II,3
13,12,156,19,Yu,Federal Way Yu,Fully  Maccinated,1,2572861,J.D. McKissic,1
14,1,157,15,LESS,Elite starts  with Eli,Raiders Are Good,11,4240657,Michael Carter,2
14,2,158,2,SWIG,Rippin' Swigs,Rippin' Swigs,2,4241802,Jalen Reagor,2
14,3,159,17,QWER,Scooty Lewis and the News,Elite starts  with Eli,15,3916148,Tony Pollard,1
14,4,160,1,LI,Fully  Maccinated,Federal Way Yu,19,4040655,Darnell Mooney,1
14,5,161,2,SWIG,Rippin' Swigs,Team barrett,18,2576623,DeVante Parker,2
14,6,162,2,SWIG,Rippin' Swigs,Draftin Herbert First Pick,16,16913,James White,1
14,7,163,15,LESS,Elite starts  with Eli,Too Many Cooks,13,4035004,Mecole Hardman,1
14,8,164,19,Yu,Federal Way Yu,Spenny Willy,10,14053,Randall Cobb,1
14,9,165,10,SPNY,Spenny Willy,Seattle Fantasy Team,3,3915411,Ty Johnson,1
14,10,166,3,GORO,Seattle Fantasy Team,Herb Your Enthusiasm,12,8664,Ryan Fitzpatrick,1
14,11,167,17,QWER,Scooty Lewis and the News,Scooty Lewis and the News,17,3915165,Rodrigo Blankenship,1
14,12,168,1,LI,Fully  Maccinated,Fully  Maccinated,1,4038818,Bryan Edwards,1
15,1,169,11,DARR,Raiders Are Good,Raiders Are Good,11,3916430,Nyheim Hines,1
15,2,170,2,SWIG,Rippin' Swigs,Rippin' Swigs,2,3051738,Marquez Valdes-Scantling,5
15,3,171,15,LESS,Elite starts  with Eli,Elite starts  with Eli,15,-16018,Saints D/ST,1
15,4,172,19,Yu,Federal Way Yu,Federal Way Yu,19,4048244,Alexander Mattison,1
15,5,173,3,GORO,Seattle Fantasy Team,Team barrett,18,3043275,Austin Hooper,1
15,6,174,11,DARR,Raiders Are Good,Draftin Herbert First Pick,16,2587819,Tyrell Williams,1
15,7,175,2,SWIG,Rippin' Swigs,Too Many Cooks,13,3121410,Parris Campbell,1
15,8,176,15,LESS,Elite starts  with Eli,Spenny Willy,10,2570986,Malcolm Brown,1
15,9,177,3,GORO,Seattle Fantasy Team,Seattle Fantasy Team,3,2976592,Sterling Shepard,1
15,10,178,11,DARR,Raiders Are Good,Herb Your Enthusiasm,12,12460,Graham Gano,1
15,11,179,15,LESS,Elite starts  with Eli,Scooty Lewis and the News,17,4240600,Kadarius Toney,1
15,12,180,3,GORO,Seattle Fantasy Team,Fully  Maccinated,1,2971618,Nelson Agholor,1
