team,bye
ATL,6
NO,6
NYJ,6
SO,6
BUF,7
DAL,7
JAX,7
LAC,7
MIN,7
PIT,7
BTL,8
LV,8
DET,9
SEA,9
TB,9
WSH,9
CHI,10
CIN,10
HST,10
NYG,10
LAR,11
DEN,11
ARZ,12
KC,12
CAR,13
CLE,13
GB,13
TEN,13
IND,14
MIA,14
NE,14
PHI,14
