id,name,position,team,total_points,projected_total_points,rank
3052096,Johnny Mundt,TE,LAR,4.6,0.0,97
3915296,Michael Walker,WR,JAX,-1.5,0.0,405
3052576,Dylan Cantrell,WR,LAC,0.0,0.0,276
2981212,Shane Smith,RB,None,0.0,0.0,223
4035014,Isaac Nauta,RB,DET,2.3,1.14,136
2978727,Jerell Adams,TE,HOU,0.0,0.0,139
14028,Stevan Ridley,RB,None,0.0,0.0,224
2574549,Sammie Coates Jr.,WR,None,0.0,0.0,277
3052143,Khalfani Muhammad,RB,DEN,0.0,0.0,225
2974317,Andy Janovich,RB,DEN,12.8,0.0,104
2968226,De'Angelo Henderson,RB,None,0.0,0.0,226
3122143,Cullen Gillaspia,RB,HOU,0.0,0.0,227
14471,Nick Bellore,RB,SEA,9.3,0.39,113
14204,Julius Thomas,TE,None,0.0,0.0,140
2971281,Pharaoh Brown,TE,CLE,3.7,0.0,98
3047558,Thomas Duarte,TE,None,0.0,0.0,141
3915575,Kelvin McKnight,WR,DEN,0.0,0.0,278
3139456,Cameron Batson,WR,TEN,0.0,0.0,279
2576408,Akeem Hunt,RB,None,0.0,0.0,228
14164,Aldrick Robinson,WR,None,0.0,0.0,280
14037,Ryan Mallett,QB,None,0.0,0.0,102
3948283,Stephen Carlson,TE,CLE,13.6,1.41,78
3125107,Andrew Beck,TE,DEN,20.04,1.51,67
3932433,Alize Mack,TE,PIT,0.0,0.0,142
3043263,Jaelen Strong,WR,None,0.0,0.0,281
16024,Kerwynn Williams,RB,None,0.0,0.0,229
3056577,Da'Mari Scott,WR,NYG,3.7,0.63,191
2514123,Marcus Murphy,RB,CAR,0.0,0.0,230
15904,Landry Jones,QB,None,0.0,0.0,103
3051381,Mike White,QB,DAL,0.0,0.0,104
3128843,Alex McGough,QB,HOU,0.0,0.0,105
14215,Lee Smith,TE,BUF,11.1,0.82,86
2972240,Jason Croom,TE,BUF,0.0,0.0,143
2531358,Chris Manhertz,TE,CAR,1.6,0.0,106
4249496,Alexander Hollins,WR,MIN,5.6,4.9,175
16783,Terrance West,RB,None,0.0,0.0,231
2515416,Jeremy Langford,RB,ATL,0.0,0.0,232
15973,Tommy Bohanon,RB,None,0.0,0.0,233
2982761,Andy Jones,WR,MIA,0.0,0.0,282
17315,Keith Smith,RB,ATL,2.6,0.12,135
14353,Scott Tolzien,QB,None,0.0,0.0,106
3042749,Logan Woodside,QB,TEN,0.0,0.0,107
2565969,Taylor Heinicke,QB,None,0.0,0.0,108
2576854,Stephen Anderson,TE,LAC,0.0,0.0,144
2513030,Geremy Davis,WR,LAC,5.3,0.0,177
3115349,Jakob Johnson,RB,NE,1.0,0.0,144
3040146,Akrum Wadley,RB,None,0.0,0.0,234
2978244,Ricky Ortiz,RB,NO,1.3,1.37,139
17127,Brandon Coleman,WR,None,0.0,0.0,283
2577245,Tre Madden,RB,None,0.0,0.0,235
3125745,Roger Lewis,WR,IND,0.0,0.0,284
2512191,Mack Brown,RB,None,0.0,0.0,236
14114,T.J. Yates,QB,None,0.0,0.0,109
2466005,Bryce Petty,QB,None,0.0,0.0,110
3722362,Brett Rypien,QB,DEN,0.0,0.0,111
2576261,Connor Cook,QB,None,0.0,0.0,112
2582424,Jake Rudock,QB,MIA,0.0,0.0,113
2510611,Randall Telfer,TE,None,0.0,0.0,145
2972331,Mason Schreck,TE,CIN,0.0,0.0,146
2971023,Ricardo Louis,WR,MIA,0.0,0.0,285
15855,Christine Michael,RB,None,0.0,0.0,237
14151,Jeremy Kerley,WR,None,0.0,0.0,286
12570,Darrius Heyward-Bey,WR,None,0.0,0.0,287
3115330,Josh Malone,WR,NYJ,0.0,0.0,288
15873,Markus Wheaton,WR,None,0.0,0.0,289
2971289,Byron Marshall,RB,None,0.0,0.0,238
